product_id,product_name,category,subcategory,brand,price,cost,rating,launch_date,tags,is_discontinued
1,Nimbus Accessory 1,Electronics,accessory,Solis,63.04,35.5,4.1,2023-09-25,vegan|limited|premium|budget,0
2,Lumen Smart_Home 2,Electronics,smart_home,Solis,695.87,282.46,3.3,2025-03-13,budget,0
3,Nimbus Smart_Home 3,Electronics,smart_home,Aurora,186.54,109.56,4.9,2022-02-08,recyclable|vegan,0
4,Solis Phone 4,Electronics,phone,Harbor,649.23,257.74,3.8,2023-10-19,wireless|bulky,0
5,Nimbus Tablet 5,Electronics,tablet,Nova,219.45,170.4,3.9,2024-12-17,recyclable,0
6,Pine Phone 6,Electronics,phone,Vertex,363.63,263.59,3.4,2022-07-03,vegan|premium|seasonal|bulky,0
7,Nimbus Laptop 7,Electronics,laptop,Solis,395.5,183.68,4.6,2025-12-31,bulky|limited|budget,0
8,Vertex Audio 8,Electronics,audio,Atlas,167.98,134.65,3.9,2022-09-05,fragile|premium|giftable,0
9,Solis Audio 9,Electronics,audio,Solis,504.39,247.12,4.1,2024-10-30,wireless|fragile,0
10,Nimbus Tablet 10,Electronics,tablet,Nova,14.34,9.02,4.7,2024-09-18,vegan,0
11,Pine Audio 11,Electronics,audio,Solis,375.97,238.13,2.7,2025-02-10,wireless|seasonal|eco|bestseller,0
12,Atlas Accessory 12,Electronics,accessory,Harbor,98.72,73.25,4.0,2023-02-21,organic|recyclable,0
13,Pine Laptop 13,Electronics,laptop,Atlas,30.64,21.32,3.8,2022-03-27,giftable|fragile|new,0
14,Nimbus Audio 14,Electronics,audio,Harbor,17.73,7.49,3.6,2025-10-24,organic|limited|budget|eco,0
15,Pine Tablet 15,Electronics,tablet,Cedar,689.92,282.35,5.0,2025-02-27,portable|organic|bulky,0
16,Aurora Audio 16,Electronics,audio,Vertex,248.9,119.18,5.0,2024-06-03,budget|portable|editor_pick,0
17,Harbor Laptop 17,Electronics,laptop,Cedar,37.96,20.94,4.6,2023-12-01,limited|recyclable|bestseller,0
18,Nimbus Laptop 18,Electronics,laptop,Solis,360.27,247.68,4.2,2025-10-09,limited|eco|editor_pick|budget,0
19,Aurora Laptop 19,Electronics,laptop,Aurora,170.25,98.4,4.1,2025-10-07,recyclable|fragile|portable|vegan,0
20,Atlas Tablet 20,Electronics,tablet,Solis,251.75,135.25,3.5,2025-11-28,editor_pick,0
21,Nova Audio 21,Electronics,audio,Lumen,396.97,213.29,4.4,2022-02-10,seasonal,0
22,Solis Phone 22,Electronics,phone,Cedar,108.19,70.24,3.9,2024-10-08,portable|premium|bulky,0
23,Harbor Phone 23,Electronics,phone,Solis,46.65,18.02,4.2,2025-07-31,vegan,0
24,Solis Tablet 24,Electronics,tablet,Pine,364.53,150.2,3.9,2025-09-13,vegan,0
25,Vertex Accessory 25,Electronics,accessory,Aurora,199.79,163.56,3.7,2023-04-12,budget|organic,0
26,Nimbus Smart_Home 26,Electronics,smart_home,Pine,263.74,126.23,4.3,2024-07-18,portable|bulky|limited,0
27,Atlas Audio 27,Electronics,audio,Cedar,72.94,57.64,3.8,2024-10-11,premium|bulky|giftable|portable,0
28,Nimbus Phone 28,Electronics,phone,Cedar,467.4,231.93,4.3,2023-10-10,wireless,0
29,Nimbus Audio 29,Electronics,audio,Lumen,109.38,82.44,5.0,2022-06-02,portable|giftable|premium|organic,0
30,Cedar Laptop 30,Electronics,laptop,Aurora,243.56,145.23,4.3,2024-09-09,giftable|recyclable,0
31,Cedar Cleaning 31,Home,cleaning,Lumen,375.88,270.87,3.6,2023-11-29,limited,0
32,Solis Kitchen 32,Home,kitchen,Solis,550.33,220.02,3.9,2024-07-03,wireless|premium|fragile,0
33,Nimbus Furniture 33,Home,furniture,Nimbus,354.28,285.31,3.8,2025-11-21,budget,0
34,Harbor Kitchen 34,Home,kitchen,Nimbus,342.02,161.29,4.2,2022-05-15,premium|seasonal,0
